teaching error,0,1,2,3,4,5,6,7,8,9,10
result,0,0.727614237,1.992624785,3.709654271,13.80820288,14.89126428,17.50882165,16.20292291,13.89138996,20.27336739,16.14765373
result,0,0.619216374,1.878378305,2.908170392,4.08982188,19.54427369,18.48405377,40.94167569,38.10228367,15.25887156,19.03797918
result,0,0.615956955,1.887199814,15.05910261,20.1949864,45.63396107,19.04822958,20.25293003,20.65807173,12.93952307,26.1445818
result,0,0.808088023,2.285286984,2.993781306,18.37493146,15.20359408,79.07134557,17.28685431,18.20478407,19.00394376,35.51735387
result,0,0.67475469,2.481150142,45.70838009,20.57765706,16.8195193,6.919966863,14.7686908,16.14191598,15.97268847,21.87198722
result,0,0.560947571,1.622411797,3.148678888,4.439255243,14.04564744,15.40480841,18.61787145,14.85035085,16.86236811,18.00847078
result,0,0.682842712,1.626415462,3.279934776,26.68445708,13.57957768,17.17560364,9.471390671,11.98180922,11.66673639,24.96466915
result,0,0.67475469,2.515105908,31.37434267,4.06271659,17.74265982,13.78359528,22.56351445,13.94062414,17.073811,46.09473816
result,0,0.627614237,2.207366046,4.477780046,27.64014263,6.489941241,15.36588886,26.90969674,18.44888803,45.25344446,33.00590835
result,0,0.680473785,2.074344285,2.922630984,4.551787472,16.00333692,24.1042772,16.06248458,17.28259861,15.9715867,15.25811362
result,0,0.694280904,2.114010804,2.913634809,20.68555119,5.03907057,17.95735507,14.62068804,21.11230327,24.96658105,15.93134094
result,0,1.129983165,1.992498646,3.359522447,14.04227971,28.05866135,15.4737601,22.58406585,15.53667456,18.07832678,20.62330082
result,0,0.602368927,2.148935733,19.41113021,4.32122942,15.09625627,14.6058277,13.95143321,39.23836813,29.90149278,21.3405261
result,0,0.527614237,2.483803231,4.021942544,18.50308345,26.41898975,27.24188949,20.41392004,14.08345886,16.76131634,23.66815853
result,0,0.708088023,2.079640722,23.5819878,22.37172997,18.22577003,5.433784972,17.90344834,13.04803441,36.75284752,15.03984942
result,0,0.708088023,1.847561026,3.468660094,24.50575431,14.67872334,24.26314063,18.80400752,21.5327489,14.1961526,18.72248406
result,0,0.63548317,1.497741806,24.4997457,5.902575625,17.79798975,14.86712437,26.40076535,16.08723632,37.87157304,21.3567672
result,0,0.680473785,1.458583975,3.277510618,16.14397335,14.2229176,15.8643002,18.90089668,15.13037433,15.85322666,23.76006486
result,0,0.769035594,1.830170113,2.989730283,21.71048176,16.94534432,15.83536032,15.60039955,16.82702704,15.04315312,13.97707154
result,0,0.694280904,21.47155964,3.457577966,14.97760403,18.15277361,15.13778287,20.16404535,17.72464256,8.780334606,17.72011644
result,0,0.515737865,2.076177219,2.959454115,3.983299,16.30509377,37.83050346,12.36108152,15.42832243,9.4831451,40.2946182
result,0,0.441421356,2.143617228,3.528841817,22.18498651,17.80977318,14.20314954,37.01657075,13.42691209,25.43419613,36.03165078
result,0,0.721676051,2.193399502,3.290293984,14.07110304,14.06683278,6.581591262,45.48565375,13.64796895,18.1552059,25.4735475
result,0,0.53570226,1.615118184,3.348022158,24.76671369,23.97885909,21.06245375,20.72881799,13.58606271,10.27422375,25.77558569
result,0,0.5,2.027890101,3.3880626,3.625402382,58.21750318,17.83957785,20.08399084,14.5310861,15.72645485,14.74601594
result,0,0.821676051,1.613919409,3.322719493,3.73853979,12.70842979,18.02154316,13.69001533,13.00338188,22.35905428,25.77501469
result,0,0.688342718,1.934316951,3.025844003,14.66172051,5.117506891,20.79008344,13.39333635,14.55554776,20.69474242,18.98677995
result,0,0.707559092,1.762555903,2.824709434,14.26943923,17.94406244,26.19522609,12.54661174,14.39443406,22.00347964,13.73449978
result,0,0.53548317,2.23165219,3.233489746,20.71653675,23.12453456,13.00544372,15.11269867,14.37277006,25.18482386,16.9953991
result,0,0.513807119,1.930569147,3.152786987,22.23542032,17.61592881,27.88091298,14.27260142,49.1795142,19.36353568,20.5483792
mean,0,0.66011219,2.634133502,7.954604095,15.06137942,18.71595989,19.89858006,19.90376933,18.33165283,19.90534023,22.88508755
variance,0,0.016671725,12.73684273,110.2969217,64.51464194,110.6266774,168.551295,69.08635208,73.69716878,71.14390385,65.79113115
